Shree Ram Hardware,+(91)-8000997272,4.6,1000,"7/ Rani Tower, Near Cell Petrol Pump, Kalavad Road, Rajkot - 360005, Opposite Crystal Mall",,"Hardware Shops,"
Umiya Hardware,+(91)-9426943310,5.0,1000,"6 Darshan Arched, University Road, Rajkot - 360005, Near Hp Petrol Pump",,"Electricians,"
Siddharth Hardware & Sanita..,+(91)-9687680603,5.0,1000,"chandraapart main road, Satya Sai Hospital, Rajkot - 360005, Maruti chowk",,"Hardware Shops,"
Shraddha Hardware,+(91)-9409477277,4.8,1000,"Shilpan Towers, Sadhu Vaswani Road, University Road, Rajkot - 360005, Opposite Vardhman Commercial",,"Hardware Shops,"
Uttam Hardware & Paints,+(91)-0281-2572647,4.9,1000,"University Road, Near Hp Petrolpump, University Road, Rajkot - 360005, Opposite Manish Watch",,"Hardware Shops,"
Patel Sanitary And Hardware,+(91)-9925716870,0.0,0,"Rani Tower, Kalavad Road, Rajkot - 360005, Opposite Crystal Mall, Near Water Tank, Yogidham",,"Hardware Shops,"
Patel Hardware House,+(91)-9429045367,3.2,1000,"Shop No 4, Chocolate Building, Sadhuvasvani Road, University Road, Rajkot - 360005, Opp Oscar City",,"Hardware Shops,"
Madhuram Hardware & Paints,+(91)-281-2586656,5.0,1000,"Shop No. 1, Prince Palace, University Main Road, University Road, Rajkot - 360005, Near Akashwani Chowk",,"Hardware Shops,"
Patel Traders,+(91)-9429560262,5.0,1000,"150 Feet Ring Road, Rajkot - 360005, Near Balaji Hall",,"Hardware Shops,"
Maruti Computer,+(91)-9726602480,5.0,1000,"Shop No 6- Saurabh Apartment, Satyasai Main Road, Nana Mava Main Road, Rajkot - 360005, Opp. Shreeji Banglow",,"Hardware Shops,"
Patel Hardware & Sentery,+(91)-9825703175,5.0,1000,"Shop No-1, Pearl Point, Satyasai Main Road, Satya Sai Hospital, Rajkot - 360005, Near Sadguru Complex",,"Hardware Shops,"
Madhav Hardware & Electric,+(91)-9879249498,4.0,1000,"Shop No 10, Vinayak Complex, Sadhu Vaswani Road, University Road, Rajkot - 360005, Near Sadhuvasvani School",,"Hardware Shops,"
Dwarkesh Hardware,+(91)-9016595952,4.0,1000,"Kalpvruks complex, Main road, Nana Mava Main Road, Rajkot - 360005",,"Hardware Shops,"
Shiv Traders,+(91)-9925290980,4.0,1000,"Tulsi Park 3, Nana Mava, Rajkot - 360005, Nr Patel Pendawala",,"Hardware Shops,"
